feature,value,churn_rate
gender,Female,0.26920871559633025
gender,Male,0.2616033755274262
SeniorCitizen,1,0.4168126094570928
SeniorCitizen,0,0.23606168446026096
Partner,No,0.32957978577313923
Partner,Yes,0.1966490299823633
Dependents,No,0.3127914048246503
Dependents,Yes,0.15450236966824646
PhoneService,Yes,0.2670963684955196
PhoneService,No,0.24926686217008798
MultipleLines,Yes,0.286098956580276
MultipleLines,No,0.2504424778761062
MultipleLines,No phone service,0.24926686217008798
InternetService,Fiber optic,0.4189276485788114
InternetService,DSL,0.1895910780669145
InternetService,No,0.07404980340760157
OnlineSecurity,No,0.4176672384219554
OnlineSecurity,Yes,0.14611193660227836
OnlineSecurity,No internet service,0.07404980340760157
OnlineBackup,No,0.39928756476683935
OnlineBackup,Yes,0.21531494442157267
OnlineBackup,No internet service,0.07404980340760157
DeviceProtection,No,0.3912762520193861
DeviceProtection,Yes,0.2250206440957886
DeviceProtection,No internet service,0.07404980340760157
TechSupport,No,0.4163547365390153
TechSupport,Yes,0.15166340508806261
TechSupport,No internet service,0.07404980340760157
StreamingTV,No,0.33523131672597867
StreamingTV,Yes,0.30070188400443293
StreamingTV,No internet service,0.07404980340760157
StreamingMovies,No,0.33680430879712747
StreamingMovies,Yes,0.29941434846266474
StreamingMovies,No internet service,0.07404980340760157
Contract,Month-to-month,0.4270967741935484
Contract,One year,0.11269517990495587
Contract,Two year,0.02831858407079646
PaperlessBilling,Yes,0.33565092304003835
PaperlessBilling,No,0.1633008356545961
PaymentMethod,Electronic check,0.4528541226215645
PaymentMethod,Mailed check,0.19106699751861042
PaymentMethod,Bank transfer (automatic),0.16709844559585493
PaymentMethod,Credit card (automatic),0.15243101182654403
